,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
151,Y,Y,Y,14,12,None,95,API,2.0,I,2.0,2010-11-28 19:09:28,2010-11-28 19:09:28,None
152,Y,Y,Y,14,14,None,96,API,2.0,I,2.0,2010-11-28 19:09:28,2010-11-28 19:09:28,None
153,Y,Y,Y,14,2,None,97,API,2.0,I,2.0,2010-11-28 19:09:28,2010-11-28 19:09:28,None
154,Y,Y,Y,72,9,None,538,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
155,Y,Y,Y,72,13,None,539,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
156,Y,Y,Y,72,12,None,540,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
157,Y,Y,Y,72,14,None,541,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
158,Y,Y,Y,72,2,None,542,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
159,Y,Y,Y,17,18,None,103,API,2.0,I,2.0,2010-11-28 19:09:42,2010-11-28 19:09:42,None
160,Y,Y,Y,17,13,None,104,API,2.0,I,2.0,2010-11-28 19:09:42,2010-11-28 19:09:42,None
161,Y,Y,Y,17,12,None,105,API,2.0,I,2.0,2010-11-28 19:09:42,2010-11-28 19:09:42,None
162,Y,Y,Y,17,14,None,106,API,2.0,I,2.0,2010-11-28 19:09:42,2010-11-28 19:09:42,None
163,Y,Y,Y,17,2,None,107,API,2.0,U,2.0,2013-01-24 13:31:49,2010-11-28 19:09:42,None
164,Y,Y,Y,72,20,None,543,API,29.0,I,29.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
165,Y,Y,Y,72,18,None,544,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
